ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
862;A050412;1050010;2013JJ00;3597.9;186.8;239.4;84.4;48.3;0.83;2.21;3.77;0;1499.5;229.8;231.2;240.8;1396.6;0;1586.9;1501.3;509.7;0;1642;1540.1;415.8
863;A050412;1050010;2014JJ00;3587;185.7;238.1;88.2;51.3;0.83;2.15;3.63;0;1480.1;233.2;236.9;251;1385.8;0;1634;1491.8;461.2;0;1711.8;1523.2;351.9
864;A050412;1050010;2015JJ00;3562;184.7;243.5;86.4;50.8;0.81;2.15;3.57;0;1505.2;244.5;253.8;275.3;1283.3;0;1617.6;1497.7;446.8;0;1735.8;1499.4;326.8
865;A050412;1050010;2016JJ00;3607.9;184.5;253;89;53.1;0.78;2.09;3.43;0;1587.3;265.4;284.5;338.7;1132;0;1697.5;1499.9;410.5;0;1854.6;1469;284.4
866;A050412;1050010;2017JJ00;3638;185.6;270;93.2;55.1;0.74;2.03;3.35;0;1707.8;305.5;345.1;428.3;851.3;0;1779.5;1489.2;369.3;0;1927.6;1453.6;256.8
867;A050412;1050010;2018JJ00;3669.1;188.2;292.2;95.5;56.5;0.69;1.99;3.29;0;1876.3;366.7;430.3;410.5;585.3;0;1845.4;1474.5;349.2;0;1994.7;1431.7;242.7
868;A050412;1050010;2019JJ00;3705;191;318.4;102.1;61;0.63;1.92;3.16;0;2124;440.1;440.5;322.6;377.8;0;1964.2;1416.2;324.7;0;2129.5;1354.1;221.4
869;A050412;1050010;2020JJ00;3716.1;192.5;340.8;103.6;62.2;0.59;1.88;3.06;0;2346.6;458.8;389.7;252.6;268.4;0;2022.4;1368.4;325.3;0;2216.2;1281.9;217.9
870;A050412;1050015;2006JJ00;544.7;121.1;221.5;;;0.59;;;0;313.5;36.8;39.9;49.1;105.4;;;;;;;;
871;A050412;1050015;2007JJ00;573.4;128.1;234.6;;;0.6;;;0;326.1;41.1;49.3;61.4;95.7;;;;;;;;
872;A050412;1050015;2008JJ00;602.5;135.2;243;;;0.62;;;0;335;45.1;54.8;68.5;99.1;;;;;;;;
